u_id,address,ptype,rent,deposit,bed,bath,sqfeet,yearbuilt,pet,ceilingFan,furnished,fireplace,cablePaid,securitySystem,laundry,washer,dryer,heatstyle,dishwasher,stove,garbage,refrigerator,microwave,swimming,parking,fence,porch,smoking
4236001,"1350 WONDER WORLD DR San Marcos, Hays County  78666",Townhouse/Villa,"$1,484.00",$0,3,2,1292,2000,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Open,No,Porch,No
4235991,"1350 WONDER WORLD DR SAN MARCOS, Hays County  78666",Townhouse/Villa,"$1,289.00",$0,2,2,1036,2000,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Patio,No
4947304,"400 Creek Rd 511Dripping Springs, Hays County  78620",Apt,"$1,370.00",$200.00,3,2,1170,2020,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4886311,"400 Creek Rd 3Dripping Springs, Hays County  78620",Apt,"$1,125.00",$300.00,3,2,990,2019,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4932507,"3085 N State Highway 123 San Marcos, HAYS County  78666",Apt,$950.00,$150.00,1,1,1258,2020,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Unassigned,No,Patio,No
4922799,"400 Creek Rd 313Dripping Springs, Hays County  78620",Apt,"$1,190.00",$200.00,2,2,990,2020,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4906014,"400 Creek Rd 300Dripping Springs, Hays County  78620",Apt,"$1,125.00",$300.00,3,2,1151,2019,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4906007,"400 Creek Rd 200Dripping Springs, Hays County  78620",Apt,"$1,190.00",$200.00,2,2,990,2019,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4896440,"400 Creek Rd 211Dripping Springs, Hays County  78620",Apt,"$1,190.00",$200.00,2,2,990,2019,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4894177,"400 Creek Rd 200Dripping Springs, Hays County  78620",Apt,$975.00,$200.00,2,2,990,2019,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4887290,"400 Creek Rd 2Dripping Springs, Hays County  78620",Apt,$975.00,$200.00,2,2,990,2019,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4884954,"400 Creek Rd Dripping Springs, Hays County  78620",Apt,$975.00,$200.00,2,2,990,2019,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Balcony,No
4940696,"400 Timbleweed Dr Kyle, Hays County  78640",House,"$2,500.00","$2,000.00",4,2.5,2600,2014,No,Yes,No,Yes,No,Yes,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,2 - Car Garage,Yes,Porch,No
