u_id,address,ptype,rent,deposit,bed,bath,sqfeet,yearbuilt,pet,ceilingFan,furnished,fireplace,cablePaid,securitySystem,laundry,washer,dryer,heatstyle,dishwasher,stove,garbage,refrigerator,microwave,swimming,parking,fence,porch,smoking
4957565,"6625 Mckinney Falls Pkwy Austin, Travis County  78744",Apt,"$1,236.00",$250.00,2,2,843,2020,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Patio,No
4951836,"6625 Mckinney Falls Pkwy Austin, Travis County  78744",Apt,"$1,427.00",$250.00,3,1.5,1023,2020,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,No
4952347,"6625 Mckinney Falls Pkwy Austin, Travis County  78744",Apt,"$1,236.00",$500.00,2,2,843,2020,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,No
4953088,"6625 Mckinney Falls Pkwy Austin, Travis County  78744",Apt,"$1,236.00",$500.00,2,2,843,2020,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,No
4953729,"6625 Mckinney Falls Pkwy Austin, Travis County  78744",Apt,"$1,236.00",$500.00,2,2,843,2020,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Patio,No
4954675,"6625 Mckinney Falls Pkwy Austin, Travis County  78744",Apt,"$1,236.00",$500.00,2,2,843,2020,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,No
4758041,"8712 Old Manor Rd  Austin, Travis County  78724",Apt,"$1,050.00",$200.00,2,2,919,2017,Yes,Yes,No,No,No,No,No,No,No,Furnace,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,Yes
4758046,"8712 Old Manor Rd  Austin, Travis County  78724",Apt,"$1,189.00",$300.00,3,2,1067,2017,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,Yes
4758048,"8712 Old Manor Rd  Austin, Travis County  78724",Apt,"$1,189.00",$300.00,3,2,1296,2017,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,Yes
4868072,"10505 S Interstate 35 Austin, Travis County  78747",Apt,"$1,250.00",$131.00,2,2,N/A,2003,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Porch,Yes
4925806,"10505 S Interstate 35 Austin, Travis County  78747",Apt,$950.00,$131.00,1,1,N/A,2003,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Balcony,Yes
4930949,"10505 S Interstate 35 Austin, Travis County  78747",Apt,"$1,500.00",$131.00,3,2,N/A,2003,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Balcony,Yes
4853816,"2800 Lyons Rd Austin, Travis County  78702",Apt,$833.00,$150.00,1,1,0,2019,No,Yes,No,No,No,No,Yes,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Open,No,Not Known,No
4783199,"2800 Lyons Rd Austin, Travis County  78702",Apt,$782.00,$150.00,Efficiency,1,N/A,2019,No,Yes,No,No,No,No,Yes,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Not Known,No
4853817,"2800 Lyons Rd Austin, Travis County  78702",Apt,"$1,240.00",$250.00,2,1,N/A,2019,No,Yes,No,No,No,No,No,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Not Known,No
4854537,"2800 Lyons Rd Austin, Travis County  78702",Apt,$969.00,$250.00,2,2,828,2014,No,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Not Known,No
4957004,"1500 Faro Dr 2224Austin, Travis County  78741",Apt,"$1,467.00",$300.00,3,2,1212,1996,Yes,No,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Open,No,Balcony,No
4957003,"1500 Faro Dr 513Austin, Travis County  78741",Apt,$925.00,$150.00,1,1,772,1996,Yes,No,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Open,No,Patio,No
4957002,"1500 Faro Dr 123Austin, Travis County  78741",Apt,$950.00,$200.00,2,1,939,1996,Yes,No,No,No,No,No,No,No,No,Central,No,No,No,No,No,Yes,Open,No,Balcony,No
4916511,"12151 N Interstate 35 Austin, Travis County  78753",Apt,"$1,491.00",$450.00,4,2,1350,1996,Yes,Yes,No,No,No,No,No,No,No,Heat Pump,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4916506,"12151 N Interstate 35 Austin, Travis County  78753",Apt,"$1,348.00",$450.00,3,2,1250,196,Yes,Yes,No,No,No,No,No,No,No,Heat Pump,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4916494,"12151 N Interstate 35 Austin, Travis County  78753",Apt,"$1,174.00",$350.00,2,2,1000,1996,Yes,Yes,No,No,No,No,No,No,No,Heat Pump,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4916488,"12151 N Interstate 35 Austin, Travis County  78753",Apt,"$1,174.00",$350.00,2,1,900,1996,Yes,Yes,No,No,No,No,No,No,No,Heat Pump,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4668470,"7707 S Interstate 35  Austin, Travis County  78744",Apt,$989.00,$200.00,1,1,723,2002,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Unassigned,No,Patio,No
4668456,"7707 S Interstate 35  Austin, Travis County  78744",Apt,"$1,234.00",$300.00,2,2,963,2002,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Unassigned,No,None,No
4668483,"7707 S Interstate 35  Austin, Travis County  78744",Apt,"$1,543.00",$400.00,3,2,1225,2002,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,1 - Car Garage,No,Balcony,No
4930459,"1140 Salina St Austin, Travis County  78702",Duplex,"$1,250.00","$1,250.00",2,2,1016,1985,No,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,2 Spaces,No,Porch,No
4735314,"1804 Wooten Park Dr 101Austin, Travis County  78757",Townhouse/Villa,"$1,150.00",$500.00,2,1.5,948,1968,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,No,Yes,Yes,No,2 Spaces,No,Patio,No
4094135,"1801 Wooten Park Dr Austin, Travis County  78757",Townhouse/Villa,"$1,099.00","$1,099.00",2,1.5,1050,1968,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,No,No,2 Spaces,No,Patio,No
4741631,"7707 S Interstate 35  Austin, Travis County  78744",Apt,"$1,134.00",$300.00,2,2,845,2002,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Unassigned,No,Patio,No
4916480,"12151 N Interstate 35 Austin, Travis County  78753",Apt,$981.00,$250.00,1,1,700,1996,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4954966,"9502 Kempler Dr DAustin, Travis County  78748",4 Plex,"$1,200.00","$1,200.00",2,2,900,N/A,Yes,Yes,No,Yes,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,2 Spaces,No,Balcony,No
4954298,"1773 Wells Branch Pkwy 1130Austin, Travis County  78728",Apt,$904.00,$200.00,1,1,562,1987,Yes,No,No,No,Yes,No,Yes,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Not Known,No
4954296,"1773 Wells Branch Pkwy 1321Austin, Travis County  78728",Apt,$904.00,$200.00,1,1,562,1987,Yes,No,No,No,Yes,No,Yes,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Not Known,No
4954294,"1773 Wells Branch Pkwy 103Austin, Travis County  78728",Apt,"$1,254.00",$250.00,1,1,1027,1987,Yes,No,No,No,Yes,No,Yes,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Not Known,No
4954292,"1773 Wells Branch Pkwy 119Austin, Travis County  78728",Apt,$904.00,$200.00,1,1,562,1987,Yes,No,No,No,Yes,No,Yes,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Not Known,No
