BB 58 An ordinance approving a Redevelopment Plan for the 1423-43 Hodiamont Avenue & 6113 Ridge Avenue Area,Primary,boyd
BB 69 An ordinance establishing a Civilian Review Board,Co-Sponsor,boyd
"BB 108 An ordinance pertaining to enforcement of code violations relating to buildings, structures and premises in the City of St. Louis.",Co-Sponsor,boyd
"BB 139 An ordinance submitting to the qualified voters of the City of St. Louis a proposed amendment to the Charter of the City of St. Louis  relating to the competitive bidding procedure used by City of St. Louis to purchase or lease equipment, supplies, materials and services",Primary,boyd
"BB 160 An ordinance designating a portion of the City of St. Louis, Missouri, as a redevelopment area known as the I-70 and Goodfellow Area, 4800-50 Goodfellow Blvd. pursuant to the Real Property Tax Increment Allocation Redevelopment Act;",Primary,boyd
BB 258 Penalty for Building Code violations,Co-Sponsor,boyd
BB 258 Penalty for Building Code violations,Co-Sponsor,boyd
BB 268 Redevelopment plan for 2865 Arlington.,Primary,boyd
BB 282 Ordinance relating to traffic control.,Co-Sponsor,boyd
BB 282 Ordinance relating to traffic control.,Co-Sponsor,boyd
BB 285 An ordinance pertaining to real estate signs within the City of St. Louis.,Co-Sponsor,boyd
BB 285 An ordinance pertaining to real estate signs within the City of St. Louis.,Co-Sponsor,boyd
BB 335 An ordinance pertaining to emergency vehicles,Co-Sponsor,boyd
BB 363 Redevelopment plan for 6000 Natural Bridge,Primary,boyd
