BB 11 Zoning change for Downtown and Lasalle,Primary,coatar
BB 27 Redevelopment plan for 400-421 S. 9th,Primary,coatar
BB 28 Redevelopment plan for 705 Olive,Primary,coatar
BB 29 Ordinance amending the Redevelopment plan for Tower Grove East/Fox Park,Co-Sponsor,coatar
BB 30 Ordinance pertaining to vendors on the Wharf,Primary,coatar
BB 37 Redevelopment plan for 2246 Shenandoah,Primary,coatar
BB 38 Redevelopment plan for 2243 McNair,Primary,coatar
BB 56 Redevelopment plan for 2105 Ann,Primary,coatar
BB 66 Ordinance pertaining to vending,Primary,coatar
BB 74 Redevelopment plan for 3127 Shenandoah,Primary,coatar
BB 75 Redevelopment plan for 801-25 Ann,Primary,coatar
BB 81 Cooperation agreement regarding 705 Olive,Primary,coatar
BB 86 Redevelopment plan for 721 Victor,Primary,coatar
BB 87 Redevelopment plan for Kosciusko Site,Primary,coatar
BB 91 Vacation of Barton & 7th Street,Primary,coatar
BB 109 Missouri Clean Energy District,Co-Sponsor,coatar
BB 122 Redevelopment plan for 2329 Ann,Primary,coatar
BB 123 Redevelopment plan for 2212-30 Shenandoah,Primary,coatar
BB 172 Ordinance amending development agreement regarding Ballpark Village,Primary,coatar
BB 177 Redevelopment plan for 501-09 Olive & 303 N. Broadway,Primary,coatar
BB 191 Zoning change for Russell Blvd. Apartments,Primary,coatar
BB 205 Ordinance establishing Building Energy Awareness,Primary,coatar
"BB 210 vacation of alley at Papin, Tucker, Chouteau, 13th",Primary,coatar
"BB 211 vacation of alley at Lombard, 3rd, Chouteau, 4th",Primary,coatar
BB 226 Use Tax to Help Fund Soccer Stadium,Co-Sponsor,coatar
"BB 236 Redevelopment plan for 1302-24, 1314 R Russell Blvd & 2128 Dolman St.",Primary,coatar
BB 246 Scott Trade Center Bill,Co-Sponsor,coatar
BB 251 Zoning change for 1322-32 Dolman,Primary,coatar
BB 251 Zoning change for 1322-32 Dolman,Primary,coatar
BB 258 501 Olive CID,Primary,coatar
BB 258 501 Olive CID,Primary,coatar
BB 267 Ordinance pertaining to City Housing Conservation Program,Primary,coatar
BB 267 Ordinance pertaining to City Housing Conservation Program,Primary,coatar
"BB 271 Amend blighting plan or 11th, Clark, 8th, Poplar",Primary,coatar
"BB 271 Amend blighting plan or 11th, Clark, 8th, Poplar",Primary,coatar
BB 290 MLS Stadium Financing Agreement,Co-Sponsor,coatar
BB 291 amendment to Entertainment License Tax,Co-Sponsor,coatar
BB 302 Municipal Court operations,Primary,coatar
BB 308 Ordinance pursuant to Police Division Sergeant Bargaining Unit,Primary,coatar
