BB 2 Ord. pertaining to Public Art,Co-Sponsor,cohn
BB 7 Ord. relating to complete streets policy,Primary,cohn
BB 57 Redev. plan for 5102 Wicklow,Primary,cohn
BB 67 Ordinance pertaining to discrimination.,Primary,cohn
"BB 89 Redevelopment plan for 4650-72, 4651-73 Spring",Primary,cohn
BB 137 Redev. Plan for 3309-13 Meramec,Primary,cohn
BB 138 Redevelopment plan for 3900 Ray,Primary,cohn
BB 174 4249 Michigan TIF Plan,Primary,cohn
BB 175 4249 Michigan TIF Agreement,Primary,cohn
BB 176 4249 Michigan TIF Note,Primary,cohn
BB 191 Establishing a dog park,Primary,cohn
BB 225 Earnings tax bill,Co-Sponsor,cohn
BB 236 Establishing the Dutchtown CID,Primary,cohn
BB 241 Prohibiting outdoor advertising signs,Co-Sponsor,cohn
BB 243 Rezoning Scruggs School,Primary,cohn
