BB 18 Vacation of LaSalle from Compton to Virginia,Primary,davis
BB 31 Charter Amendment amending the number of aldermen,Co-Sponsor,davis
BB 36 Third Amendment to the Adler Lofts TIF,Primary,davis
BB 93 Grand Center TIF,Primary,davis
BB 103 Vacation of Compton at Chouteau,Primary,davis
BB 103 Vacation of Compton at Chouteau,Primary,davis
BB 108 Ordinance relating to City Recreation Facility in O'Fallon Park,Co-Sponsor,davis
BB 108 Ordinance relating to City Recreation Facility in O'Fallon Park,Co-Sponsor,davis
BB 161 Ordinance pertaining to solicitation on highway entrance and exit ramps,Co-Sponsor,davis
BB 162 Grand Center CID,Primary,davis
BB 174 Vacation of 1057 & 3411 Olive,Primary,davis
BB 206 Liquor moratorium in the 19th Ward,Primary,davis
BB 224 Establishment of the Botanical Heights West Special Business District,Co-Sponsor,davis
BB 225 Ordinance for voters in Botanical Heights West Special Business District,Co-Sponsor,davis
BB 239 Vacation of Virginia between Caroline and Rutger,Primary,davis
BB 275 Marijuana decriminalization,Co-Sponsor,davis
BB 297 City Public Works Projects,Co-Sponsor,davis
