BB 2 An ordinance pertaining to securing vacant buildings and structures,Co-Sponsor,flowers
BB 3 An ordinance pertaining to Housing Conservation districts in Ward 7,Co-Sponsor,flowers
BB 5 An ordinance pertaining to Home Day Cares,Co-Sponsor,flowers
BB 5 An ordinance pertaining to Home Day Cares,Co-Sponsor,flowers
BB 6 An ordinance submitting to the qualified voters a non-binding preferential vote regarding the residency of members of the Police Department,Co-Sponsor,flowers
BB 6 An ordinance submitting to the qualified voters a non-binding preferential vote regarding the residency of members of the Police Department,Co-Sponsor,flowers
BB 7 An ordinance pertaining to the Board of Trustees of the Employees Retirement System of the City of St. Louis,Co-Sponsor,flowers
BB 9 An ordinance pertaining to curfew in Buder Park,Co-Sponsor,flowers
BB 14 An Ord. pertaining to the employees of the Office of the Circuit Attorney,Co-Sponsor,flowers
BB 15 An Ord. pertaining to the salaries of employees of the Sheriff's Office,Co-Sponsor,flowers
BB 16 An ordinance reaffirming the policy for the disclosure of potential conflicts of interest and substantial interests for certain municipal officials,Co-Sponsor,flowers
BB 17 Zoning change in City block 1862,Co-Sponsor,flowers
BB 18 Zoning change in City Block 3904,Co-Sponsor,flowers
BB 19 Zoning change in City block 3919,Co-Sponsor,flowers
BB 21 Zoning change in City Block 918,Co-Sponsor,flowers
BB 22 Zoning change in City Block 930 and 931,Co-Sponsor,flowers
BB 26 An ordinance approving a Redevelopment Plan for the 900-902 Utah Street and 3306 & 3312 S. 9th Street Area,Co-Sponsor,flowers
"BB 31 An ordinance approving a Redevelopment Plan for 2642 Ann Avenue, 2256 Missouri Avenue & 2330 Menard Street Area",Co-Sponsor,flowers
BB 32 An ordinance approving a Redevelopment Plan for 2637 & 2706 Allen Avenue  Area,Co-Sponsor,flowers
BB 33 An ordinance approving a Redevelopment Plan for 2244 S. Jefferson Avenue Area,Co-Sponsor,flowers
BB 34 An ordinance approving a Redevelopment Plan for the 3134-36 Shenandoah Area,Co-Sponsor,flowers
BB 35 An ordinance approving a Redevelopment Plan for the 3429 Hartford Street Area,Co-Sponsor,flowers
BB 36 An ordinance approving a Redevelopment Plan for the 3317 Magnolia Avenue Area,Co-Sponsor,flowers
BB 38 An ordinance approving a Redevelopment Plan for 3801 Connecticut Street and 3844 Humphrey Street Area,Co-Sponsor,flowers
BB 39 An ordinance approving a Redevelopment Plan for 3700 Potomac Street Area,Co-Sponsor,flowers
BB 40 An ordinance approving a Redevelopment Plan for 3510-12 Utah Street Area,Co-Sponsor,flowers
"BB 41 An ordinance approving a Redevelopment Plan for the 2626, 2632 & 2634 Wyoming Street Area",Co-Sponsor,flowers
"BB 42 An ordinance approving a Redevelopment Plan for 2746 Wyoming Street, 2740 Miami Street & 2918 Cherokee Street Area",Co-Sponsor,flowers
BB 43 An ordinance approving a Redevelopment Plan for the 2706 Wyoming Street Area,Co-Sponsor,flowers
BB 44 An ordinance approving a Redevelopment Plan for the 2301-45 and 2304-06 Hebert St. Area,Co-Sponsor,flowers
BB 45 An ordinance approving a Redevelopment Plan for the 1735 Delmar Blvd. Area,Co-Sponsor,flowers
BB 46 An ordinance approving a Redevelopment Plan for the 700 Carr Street/Cochran Gardens Area,Co-Sponsor,flowers
BB 47 An ordinance approving a Redevelopment Plan for the 4256-66 Blair Ave./1416-30 Ferry St. Area,Co-Sponsor,flowers
BB 48 An ordinance approving a Redevelopment Plan for the 615 S. Vandeventer Ave. Area,Co-Sponsor,flowers
BB 49 An ordinance approving a Redevelopment Plan for the 6600-12 & 6615 Minnesota Ave. and 6601-09 Pennsylvania Ave. Area,Co-Sponsor,flowers
BB 50 An ordinance approving a Redevelopment Plan for the 1556 & 1560 Kraft Street & 1565 Fairmount Avenue Area,Co-Sponsor,flowers
"BB 51 An ordinance approving a Redevelopment Plan for the 4048 Shaw Boulevard, 3636 Botanical Avenue & 3636-38 Shenandoah Avenue Area",Co-Sponsor,flowers
BB 52 An ordinance approving a Redevelopment Plan for the 5358 Southwest Ave. and 2712 January Ave. Area,Co-Sponsor,flowers
"BB 53 An Ordinance recommended by the Planning Commission, to change the zoning of property as indicated on the District Map, to the “I” Central Business District",Co-Sponsor,flowers
"BB 54 An Ordinance recommended by the Planning Commission on April 6, 2005, to change the zoning of property as indicated on the District Map, to the “I” Central Business District",Co-Sponsor,flowers
"BB 55 An Ordinance recommended by the Planning Commission on April 6, 2005, to change the zoning of property as indicated on the District Map, to the “H” Area Commercial District",Co-Sponsor,flowers
"BB 56 An Ordinance recommended by the Planning Commission on April 6, 2005, to change the zoning of property as indicated on the District Map, to the “I” Central Business District",Co-Sponsor,flowers
BB 58 An ordinance approving a Redevelopment Plan for the 1423-43 Hodiamont Avenue & 6113 Ridge Avenue Area,Co-Sponsor,flowers
BB 59 An ordinance prohibiting the issuance of any package or drink liquor licenses for any currently non-licensed premises within the boundaries of the Twentieth Ward,Co-Sponsor,flowers
"BB 61 An ordinance establishing and creating a Planned Unit Development District to be known as the ""Carroll Street Condominiums Planned Unit Development",Co-Sponsor,flowers
"BB 64 An ordinance amending ordinance No. 66222 authorizing the execution of an amendment to redevelopment agreement between the city and WRT Highlands Hotel, LLC;",Co-Sponsor,flowers
BB 68 An ordinance approving an amended redevelopment plan for the 300 N. Tucker Blvd. Area,Co-Sponsor,flowers
BB 69 An ordinance establishing a Civilian Review Board,Co-Sponsor,flowers
BB 70 An ordinance pertaining to dogs and dog parks,Co-Sponsor,flowers
BB 70 An ordinance pertaining to dogs and dog parks,Co-Sponsor,flowers
BB 71 An ordinance pertaining to the excise laws of the City of St. Louis,Co-Sponsor,flowers
BB 71 An ordinance pertaining to the excise laws of the City of St. Louis,Co-Sponsor,flowers
"BB 72 An Ordinance directing the Director of Public Safety to enter into and execute a Grant Agreement with the Missouri Emergency Management Agency,",Co-Sponsor,flowers
"BB 72 An Ordinance directing the Director of Public Safety to enter into and execute a Grant Agreement with the Missouri Emergency Management Agency,",Co-Sponsor,flowers
BB 75 An Ordinance directing the Fire Chief to enter into and execute a Grant Agreement with the U.S. Department of Homeland Security,Co-Sponsor,flowers
BB 75 An Ordinance directing the Fire Chief to enter into and execute a Grant Agreement with the U.S. Department of Homeland Security,Co-Sponsor,flowers
BB 129 An ordinance pertaining to the Second Ward Liquor Control District,Primary,flowers
"BB 164 An Ordinance directing the Mayor and the Comptroller to execute, upon receipt of and in consideration of the sum of One Dollar ($1.00), and other good and valuable consideration, a permanent, irrevocable Easement, which shall give onto AmerenUE, Laclede Gas Company, Metropolitan St. Louis Sewer Dist",Primary,flowers
BB 251 Special use districts,Primary,flowers
BB 255 Street vending downtown,Co-Sponsor,flowers
BB 258 Penalty for Building Code violations,Co-Sponsor,flowers
BB 258 Penalty for Building Code violations,Co-Sponsor,flowers
BB 282 Ordinance relating to traffic control.,Co-Sponsor,flowers
BB 282 Ordinance relating to traffic control.,Co-Sponsor,flowers
BB 293 Redevelopment plan for 110 E. Grand,Primary,flowers
"BB 422 An ordinance recommended by the Board of Public Service to vacate public surface rights for vehicle, equestrian and pedestrian travel in a 15 foot wide un-named street from Hall St. to Riverview Dr. in the City of St. Louis, Missouri, as hereinafter described, in accordance with Charter authority, a",Primary,flowers
