BB 23 An ordinance approving a Redevelopment Plan  for 3520 Wisconsin.,Primary,guenther
BB 82 Redevelopment Plan for the 2829 Iowa Ave,Primary,guenther
BB 93 An Ordinance requiring a City-wide vote to approve any proposal aimed at or having the effect of privatizing the Lambert St. Louis International Airport (the “Airport”),Co-Sponsor,guenther
"BB 100 directing the Director of the Department of Human Services, by and  through the St. Louis Area Agency on Aging, to accept a Grant  Award from St. Louis City Senior Services Fund",Co-Sponsor,guenther
"BB 103 condemnation by the City of St. Louis to acquire a site consisting of about 97 acres in North St. Louis near the intersection of Jefferson and Cass Avenues which is owned in fee simple by LCRA Holdings Corporation (“LCRAH”), which site was chosen for",Co-Sponsor,guenther
"BB 116   An ordinance defining the term “honored guest” as the term is used in City of St. Louis Board of Aldermen Rules, as an individual, or their representative, who is being honored by the Board of Alder",Co-Sponsor,guenther
"BB 132 An ordinance authorizing and directing the Director of the City of St. Louis Department of Health, Mayor of the City of St. Louis, and their authorized grantee official, on behalf of the City of St. Louis, to enter into and execute a Cooperative Agre",Co-Sponsor,guenther
BB 140 Graduated Business License Tax,Co-Sponsor,guenther
BB 163 Dog Bite,Co-Sponsor,guenther
BB 169 Opioid Crisis,Co-Sponsor,guenther
BB 177 Taxable Industrial Development Revenue Bonds,Primary,guenther
BB 211 Redevelopment Plan for 2821-23 Iowa,Primary,guenther
