BB 57 Rezoning property on N. 13th Street,Primary,hubbard
BB 58 Rezoning property on Glasgow,Primary,hubbard
BB 117 NGA Financing,Primary,hubbard
BB 117 NGA Financing,Primary,hubbard
BB 162 Redevelopment plan for 1601-1723 Delmar,Primary,hubbard
BB 176 Soldiers Memorial Agreement,Co-Sponsor,hubbard
BB 183 Renaming N. 3rd St. to Lumiere Place,Co-Sponsor,hubbard
BB 219 Stadium Bill,Primary,hubbard
BB 233 Zoning change for 2311-2341 Carr,Primary,hubbard
"BB 248 Amended redevelopment plan for Sullivan, Dodier, 23rd St., 25th St.",Primary,hubbard
BB 265 Earnings Tax,Co-Sponsor,hubbard
