BB 11 Rezoning Chouteau Corridor Phase 1,Primary,ingrassia
BB 28 Redevelopment plan for 1910 Virginia,Primary,ingrassia
BB 29 Redevelopment plan for 2655 Accomac,Primary,ingrassia
BB 48 Gregory J. Carter Park,Co-Sponsor,ingrassia
BB 63 An Ordinance establishing the Office of Financial Empowerment.,Co-Sponsor,ingrassia
BB 63 An Ordinance establishing the Office of Financial Empowerment.,Co-Sponsor,ingrassia
BB 64 Quit Claim Deed to AGC of St. Louis Education Foundation,Primary,ingrassia
BB 64 Quit Claim Deed to AGC of St. Louis Education Foundation,Primary,ingrassia
"BB 66 adoption of a policy supporting the practice of the Trap-Neuter-Return
of feral cats;",Primary,ingrassia
"BB 66 adoption of a policy supporting the practice of the Trap-Neuter-Return
of feral cats;",Primary,ingrassia
BB 81 Ord. affirming Ordinances and Notices,Co-Sponsor,ingrassia
BB 99 Redevelopment plan for DeSales Scattered Sites,Co-Sponsor,ingrassia
BB 100 Redevelopment plan for 3304 Shenandoah,Primary,ingrassia
BB 152 Redev. plan for 2700 Henrietta,Primary,ingrassia
"BB 153 Redev. plan for 2804-08 S. Compton, 3151-53 Halliday",Primary,ingrassia
BB 162 Zoning change for 2842 Magnolia,Primary,ingrassia
BB 192 Zoning change for 3019-21 & 3029 Arsenal,Primary,ingrassia
BB 198 Ordinance amending complete streets policy,Co-Sponsor,ingrassia
BB 208 Civilian Review Board,Co-Sponsor,ingrassia
BB 211 Redevelopment plan for 2329 Market St,Primary,ingrassia
BB 217 Establishing the Lafayette Square Special Business District,Co-Sponsor,ingrassia
BB 218 Ordinance submitting to the voters the Lafayette Square Special Business Distict,Co-Sponsor,ingrassia
BB 235 Repealing City Plan on proposed residential structures,Primary,ingrassia
"BB 249 Vacation of Chouteau, Jefferson, LaSalle, Ohio",Primary,ingrassia
BB 258 Redevelopment plan for 1917 Rutger,Primary,ingrassia
BB 260 Amending definitions in the Revised Code,Primary,ingrassia
BB 269 Union Station TIF Agreement,Primary,ingrassia
BB 270 Union Station TIF Plan,Primary,ingrassia
BB 271 Union Station TIF Note,Primary,ingrassia
