BB 1 Budget FY14/15,Co-Sponsor,kennedy
BB 2 Ordinance establishing bond oversight committee,Co-Sponsor,kennedy
BB 17 Redevelopment plan for 4218 Maryland,Primary,kennedy
BB 25 Short term borrowing,Primary,kennedy
BB 59 Transit sales tax,Primary,kennedy
BB 59 Transit sales tax,Primary,kennedy
BB 60 Transit sales tax-1997,Primary,kennedy
BB 60 Transit sales tax-1997,Primary,kennedy
BB 61 Transportation sales tax 2014-2015,Primary,kennedy
BB 61 Transportation sales tax 2014-2015,Primary,kennedy
BB 65 New public street adjacent to North Sarah Phase II,Primary,kennedy
BB 65 New public street adjacent to North Sarah Phase II,Primary,kennedy
BB 134 Ordinance designating 1401 N. Kingshighway a city landmark,Primary,kennedy
BB 191 Designation of Walton Ave. as Rev. Melvin Smotherson Ave,Primary,kennedy
BB 197 Low interest loans for residential energy efficiency,Primary,kennedy
BB 208 Civilian Review Board,Co-Sponsor,kennedy
BB 215 Forest Park Leasehold Revenue Refunding Bonds,Primary,kennedy
BB 216 Series 2015 Kiel Refunding Project,Primary,kennedy
