BB 5 Zoning change for Copying Concepts Site,Primary,ogilvie
BB 8 Local Control,Co-Sponsor,ogilvie
BB 69 Ordinance pertaining to campaign contribution limits,Primary,ogilvie
"BB 94 Quit Claim for 12,000 for K.A.M. Investment",Primary,ogilvie
BB 163 Redev. plan for 2144 McCausland,Primary,ogilvie
BB 203 Ordinance pertaining to street vendors,Primary,ogilvie
BB 213 Redevelopment plan for 6905 Wise Ave.,Primary,ogilvie
BB 232 Zoning change for 7207 Piccadilly,Primary,ogilvie
BB 256 Redevelopment plan for 6301 Manchester,Primary,ogilvie
BB 257 Redevelopment plan for 2329-31 Hampton,Primary,ogilvie
BB 332 Ordinance relating to identification of High Merit historic properties.,Co-Sponsor,ogilvie
