"BB 103 condemnation by the City of St. Louis to acquire a site consisting of about 97 acres in North St. Louis near the intersection of Jefferson and Cass Avenues which is owned in fee simple by LCRA Holdings Corporation (“LCRAH”), which site was chosen for",Co-Sponsor,oldenburg
"BB 110 GENERAL OBLIGATION BONDS, SERIES 2018",Co-Sponsor,oldenburg
BB 173 Small Wireless Facilities,Primary,oldenburg
BB 183 Short Term Residential Rentals,Co-Sponsor,oldenburg
BB 195 Lighthouse Area Special Use District,Primary,oldenburg
"BB 196 Defining terms Micro Wireless Facilities, Small Wireless, Utility Station, Utility Towers",Primary,oldenburg
"BB 197 An Ordinance recommended by the Planning Commission pertaining to the Forest Park Southeast Form Based District (The “District”); amending Ordinance 70732 by amending the definition for utility / communication uses, and repealing and replacing table",Primary,oldenburg
BB 198 Central West End Form Based District,Primary,oldenburg
BB 204 Amending Small Wireless Facilities,Primary,oldenburg
"BB 225 An Ordinance adding a new Chapter under Title 25, the Building Code, to be known as “Small Wireless Facilities and Micro Wireless Facilities;” containing a severability clause and an emergency clause.",Primary,oldenburg
"BB 227      An ordinance relating to the undergrounding requirements set forth in Chapter 23.42 of the Revised Code of the City of St. Louis; repealing Sections 23.42.010, 23.42.030 through, 23.42.050, and 23.42.070 of the Revised Code of the City of St. Lo",Primary,oldenburg
