BB 1 Budget 2011-2012,Primary,reed
BB 2 Redistricting Bill,Co-Sponsor,reed
BB 5 TRANS bill,Co-Sponsor,reed
BB 68 Financial Disclosure,Primary,reed
BB 146 Transit Sales tax Account One,Primary,reed
BB 147 Transit Sales Tax Account Two,Primary,reed
BB 148 Transportation Sales Tax,Primary,reed
BB 175 Firemen's Retirement System,Co-Sponsor,reed
BB 189 Ord. Relating to Forest Park,Co-Sponsor,reed
BB 190 Prop. to secure bond counsel,Co-Sponsor,reed
BB 216 Redev. agrmt between the City and Bottle District Investors LLC,Primary,reed
BB 258 Residential and commercial bicycling,Co-Sponsor,reed
