BB 3 Hampton Berthold CID,Primary,roddy
BB 28 Redevelopment plan for 4342 Hunt,Primary,roddy
BB 29 Redevelopment plan for 4350 Chouteau,Primary,roddy
BB 30 Redevelopment plan for 4216-22 Gibson,Primary,roddy
BB 32 Zoning change for Kentucky & Papin Parcels,Primary,roddy
BB 61 Redevelopment plan for Forest Park Southeast Scattered Sites,Primary,roddy
BB 62 Redevelopment plan for 4180 Manchester,Primary,roddy
BB 63 Note for Northeast Hampton Berthold TIF,Primary,roddy
BB 80 Vacation of Cairns Pl. from Clayton Ave.,Primary,roddy
BB 81 Vacation of the alley at Clayton and Vandeventer,Primary,roddy
BB 95 Redevelopment agreement for 100 N. Euclid TIF,Primary,roddy
BB 96 Redevelopment plan for 100 N. Euclid TIF,Primary,roddy
"BB 97 Redevelopment Note for 10,000,000 for 100 N. Euclid",Primary,roddy
BB 107 Stop site at S. Boyle at Dugan,Primary,roddy
BB 108 Zoning change for St. Louis College of Pharmacy,Primary,roddy
BB 113 St. Louis Innovation TIF plan,Primary,roddy
BB 114 St. Louis Innovation TIF Agreement,Primary,roddy
BB 115 St. Louis Innovation TIF Note,Primary,roddy
BB 120 Public Works project for Vandeventer Corridor,Primary,roddy
BB 145 Stop site for traffic on tower Grove at Swan,Primary,roddy
BB 218 Redevelopment plan for 1214 S. Boyle,Primary,roddy
BB 226 Redevelopment plan for 4010-66 West Pine,Primary,roddy
BB 235 Zoning change for 4054-66 West Pine,Primary,roddy
BB 252 Redevelopment plan for 4367 Gibson,Primary,roddy
BB 269 Zoning change for Gratiot and S. Vandeventer,Primary,roddy
BB 284 Vacation of Duncan from Vandeventer westwardly,Primary,roddy
BB 310 Quit claim to SLLC Real Estate Prop.,Primary,roddy
BB 316 Cortex - BiState quit claim for 412 S. Sarah,Primary,roddy
BB 317 St. Louis Innovation TIF,Primary,roddy
BB 318 St. Louis Innovation TIF Agreement,Primary,roddy
BB 319 St Louis Innovation TIF Note,Primary,roddy
"BB 329 Alley vacation at Oakview, Berthhold, Hampton and Clayton",Primary,roddy
