BB 5 An Ordinance establishing a Detention Facility Advisory Commission that shall receive public complaints regarding the City of St. Louis Justice Center and Medium Security Institution detention facilities,Primary,vaccaro
BB 31 four-way stop site at the intersection of Mardel Avenue and Sulfur Avenue,Primary,vaccaro
BB 71 three-way stop site at the intersection of Pernod Avenue and Tedmar Avenue,Primary,vaccaro
"BB 72 An ordinance revising The Transparency in Government Law, Ordinance 69707 and Ordinance 70321,",Co-Sponsor,vaccaro
"BB 103 condemnation by the City of St. Louis to acquire a site consisting of about 97 acres in North St. Louis near the intersection of Jefferson and Cass Avenues which is owned in fee simple by LCRA Holdings Corporation (“LCRAH”), which site was chosen for",Co-Sponsor,vaccaro
"BB 119      An ordinance authorizing and directing the Director of Public Safety, on behalf of the Mayor and the City of Saint Louis, to enter into and execute an Intergovernmental Agreement with the United States Marshal Service for housing and related ser",Co-Sponsor,vaccaro
BB 125 An ordinance approving a Redevelopment Plan for the 5550 Fyler Ave. Area,Primary,vaccaro
BB 136 Recreational Fire,Primary,vaccaro
BB 142 Firemen's Retirement System,Primary,vaccaro
BB 169 Opioid Crisis,Co-Sponsor,vaccaro
BB 185 4 Way Stop Site @ McCausland & Bancroft,Primary,vaccaro
BB 212 Women Inmate Health,Co-Sponsor,vaccaro
