BB 18 Redevelopment plan for 5444 Odell,Primary,vollmer
BB 20 Redevelopment plan for 5223 Elizabeth,Primary,vollmer
BB 22 Redevelopment plan for 5135 Shaw,Primary,vollmer
BB 82 2015 S. 59th Street,Primary,vollmer
BB 102 Redevelopment plan for 5624 Magnolia,Primary,vollmer
BB 110 Redevelopment plan for 5132 Daggett,Primary,vollmer
BB 156 Redev plan for 2615 January,Primary,vollmer
BB 163 Zoning change for 5213 Bischoff,Primary,vollmer
BB 168 10th Ward Liquor Control District,Primary,vollmer
BB 184 Redevelopment plan for 1918 Edwards,Primary,vollmer
BB 195 Leasehold Revenue Refunding Bonds,Co-Sponsor,vollmer
BB 236 Redevelopment plan for 5528 Botanical,Primary,vollmer
BB 237 Redevelopment plan for 5435 Elizabeth,Primary,vollmer
BB 253 Redevelopment plan for 3219 Regal Place,Primary,vollmer
BB 261 Redevelopment plan for 5519 Botanical,Primary,vollmer
BB 262 Redevelopment plan for 5532 Magnolia,Primary,vollmer
BB 267 Establishing a stop site on Pernod at Sublett,Primary,vollmer
