BB 38 Redevelopment Plan for 5918 DeGiverille,Primary,williamson
BB 60 PUD Cabanne Townhomes,Primary,williamson
BB 61 PUD Clemens,Primary,williamson
BB 102 Designating Fourth Street between Market Street and Chestnut Street as Dred Scott Way@.,Co-Sponsor,williamson
BB 114 Redev. plan for Etzell II,Primary,williamson
BB 167 Gateway Mall,Co-Sponsor,williamson
BB 274 Redevelopment plan for 5415 Page,Primary,williamson
BB 345 Closing Savoy Court at Union,Primary,williamson
BB 349 Repeal redev. plan for Union/Page/Academy and Maple,Primary,williamson
BB 391 Redev. plan for 5255 Maple,Primary,williamson
BB 404 Cyber Harassment,Co-Sponsor,williamson
BB 478 Redev. plan for 5147 Ridge,Primary,williamson
