BB 45 Germania Improvements,Primary,arnowitz
BB 50 Ord. establishing stop sign at Loughborough & Field,Primary,arnowitz
BB 73 Stop site on Stolle at Primm,Primary,arnowitz
BB 74 Stop site on Stolle at Tesson,Primary,arnowitz
BB 75 Stop site on Loughborough at Macklind,Primary,arnowitz
BB 114 Ordinance relating to salaries of the Office of the Recorder of Deeds,Primary,arnowitz
BB 152 Redevelopment plan for 4092 Robert,Primary,arnowitz
BB 176 Soldiers Memorial Agreement,Co-Sponsor,arnowitz
BB 265 Earnings Tax,Co-Sponsor,arnowitz
BB 285 Traffic Management Enhancement bill,Co-Sponsor,arnowitz
