BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,bosley
"BB 65 Vacation of alley at Carter, Grand, Penrose, Obear",Primary,bosley
BB 88 Ordinance prohibiting liquor in 3rd Ward,Primary,bosley
BB 90 Ordinance regarding development plans for Madison Acres Area,Primary,bosley
BB 106 Rezoning for NGA,Co-Sponsor,bosley
BB 124 Ordinance repealing ordinance 6900 pertaining to liquor licenses in the Third Ward,Primary,bosley
BB 193 An ordinance pertaining to unlawful possession of marijuana,Co-Sponsor,bosley
BB 202 Ordinance closing traffic on Sullivan from Grand Avenue,Primary,bosley
BB 219 NGA Protection Special Use District,Primary,bosley
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,bosley
BB 234 Ordinance establishing Independent Investigations Unit,Primary,bosley
BB 239 Zoning change for 4231 - 41 N. Grand,Primary,bosley
