BB 32 business license regulations set forth in Title 8,Primary,boyd
"BB 69 Parking Commission making appropriation for payment of the operating  expenses, capital equipment and improvement expenses, including lease purchase agreements involving Parking Division assets, and debt service expenses of the Parking Division of th",Primary,boyd
"BB 103 condemnation by the City of St. Louis to acquire a site consisting of about 97 acres in North St. Louis near the intersection of Jefferson and Cass Avenues which is owned in fee simple by LCRA Holdings Corporation (“LCRAH”), which site was chosen for",Co-Sponsor,boyd
"BB 119      An ordinance authorizing and directing the Director of Public Safety, on behalf of the Mayor and the City of Saint Louis, to enter into and execute an Intergovernmental Agreement with the United States Marshal Service for housing and related ser",Co-Sponsor,boyd
BB 149 Amending Ordinance 70524,Co-Sponsor,boyd
BB 164 Naming and Renaming of Streets in Public Parks,Primary,boyd
BB 169 Opioid Crisis,Co-Sponsor,boyd
BB 170 Conviction Integrity Unit,Primary,boyd
BB 171 Swimming Pool and Spa Code,Primary,boyd
BB 173 Small Wireless Facilities,Co-Sponsor,boyd
BB 181 3 way stop site Blackstone & Wells,Primary,boyd
BB 212 Women Inmate Health,Co-Sponsor,boyd
"BB 222 An Ordinance recommended by the Board of Estimate and Apportionment of The City of St. Louis, Missouri authorizing and directing The City of St. Louis, Missouri (as further defined herein, the “City”) to issue and sell its general obligation bonds in",Primary,boyd
BB 223 MOU with United States Attorney's Office,Primary,boyd
BB 224 Dig Once,Primary,boyd
