BB 76 Ordinance regarding Maya Angelou's birthplace,Co-Sponsor,cohn
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Primary,cohn
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Primary,cohn
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Primary,cohn
BB 97 Redevelopment plan for 4218 S. 37th St.,Primary,cohn
BB 97 Redevelopment plan for 4218 S. 37th St.,Primary,cohn
BB 108 Ordinance pertaining to graduated business license,Co-Sponsor,cohn
BB 109 Ordinance pertaining to the regulation of home occupations,Co-Sponsor,cohn
BB 113 Ordinance relating to speed bumps,Co-Sponsor,cohn
BB 115 Ordinance pertaining to Recreation Centers,Co-Sponsor,cohn
BB 123 Disclosure of conflicts of interest,Co-Sponsor,cohn
BB 176 Soldiers Memorial Agreement,Co-Sponsor,cohn
BB 207 Stadium Ordinance,Co-Sponsor,cohn
BB 265 Earnings Tax,Co-Sponsor,cohn
