BB 14 Redevelopment plan for 1900 Washington,Primary,davis
BB 45 Redevelopment plan for 2701 Delmar,Primary,davis
BB 51 5th Supplemental Indenture for 634 N. Grand,Primary,davis
BB 54 Redevelopment plan for 2600 Dr. Samuel T. Shepard Drive,Primary,davis
BB 54 Redevelopment plan for 2600 Dr. Samuel T. Shepard Drive,Primary,davis
BB 56 Est. Grand Center CID,Primary,davis
BB 56 Est. Grand Center CID,Primary,davis
BB 57 Sweetie Pies CID,Primary,davis
BB 57 Sweetie Pies CID,Primary,davis
BB 73 Redevelopment plan for 3023-25 Allen,Primary,davis
"BB 76 Redevelopment plan for 1515-215 S. 39th, 3901-05, 3907-09 Folsom, 3861-69 McRee, 3867 Lafayette",Primary,davis
BB 133 Ordinance designating 1345-55 N.Garrison a city landmark,Primary,davis
BB 142 Establishment of a honorary Poet Laureate,Co-Sponsor,davis
BB 151 Recorder of Deeds,Co-Sponsor,davis
"BB 159 Redev. plan for 3826-32 McRee, 3828-30 Folsom",Primary,davis
BB 172 Sixth supplemental indenture for Grandel Theatre,Primary,davis
BB 183 Redevelopment plan for 1349 N. Garrison,Primary,davis
"BB 186 BOARD BILL #186
An ordinance approving the petition to establish the Forsyth Associates Community Improvement District",Primary,davis
BB 195 Leasehold Revenue Refunding Bonds,Co-Sponsor,davis
BB 196 2014 Lead grant bill,Co-Sponsor,davis
BB 208 Civilian Review Board,Co-Sponsor,davis
BB 231 Northern Tract,Primary,davis
BB 232 North Park Partners contract,Primary,davis
BB 233 ATM Concessions,Primary,davis
BB 241 Airport refunding bonds,Primary,davis
BB 260 Amending definitions in the Revised Code,Co-Sponsor,davis
