BB 13 Revelopment plan for 3637 N. Utah Place,Primary,flowers
BB 41 Establish Carrie CID,Primary,flowers
BB 48 Gregory J. Carter Park,Co-Sponsor,flowers
BB 52 Redevelopment plan for 6335 Bulwer Ave,Primary,flowers
BB 53 Redevelopment plan for Lookaway Drive,Primary,flowers
BB 53 Redevelopment plan for Lookaway Drive,Primary,flowers
"BB 66 adoption of a policy supporting the practice of the Trap-Neuter-Return
of feral cats;",Co-Sponsor,flowers
"BB 66 adoption of a policy supporting the practice of the Trap-Neuter-Return
of feral cats;",Co-Sponsor,flowers
BB 161 Carrie Av. CID,Primary,flowers
BB 187 Ordinance to sell property at #5 Branch to Gunther Salt Co and Great Rivers Greenway,Primary,flowers
BB 188 Continental Cement Co. lease,Primary,flowers
BB 208 Civilian Review Board,Co-Sponsor,flowers
BB 221 Competitive bidding and composition of workforce,Co-Sponsor,flowers
