BB 46 Tower Grove South Concerned Citizens Special Business District,Primary,green
"BB 100 directing the Director of the Department of Human Services, by and  through the St. Louis Area Agency on Aging, to accept a Grant  Award from St. Louis City Senior Services Fund",Co-Sponsor,green
"BB 103 condemnation by the City of St. Louis to acquire a site consisting of about 97 acres in North St. Louis near the intersection of Jefferson and Cass Avenues which is owned in fee simple by LCRA Holdings Corporation (“LCRAH”), which site was chosen for",Co-Sponsor,green
"BB 116   An ordinance defining the term “honored guest” as the term is used in City of St. Louis Board of Aldermen Rules, as an individual, or their representative, who is being honored by the Board of Alder",Co-Sponsor,green
"BB 137 An ordinance revising and amending Ordinance No. 62885, which imposes a one-half of one-percent sales tax, known as the Capital Improvements Sales Tax,",Co-Sponsor,green
BB 140 Graduated Business License Tax,Co-Sponsor,green
BB 141 Semi-Trailer Trucker,Primary,green
BB 169 Opioid Crisis,Co-Sponsor,green
BB 212 Women Inmate Health,Co-Sponsor,green
BB 219 Surveillance Technology,Co-Sponsor,green
