BB 8 Local Control,Co-Sponsor,ingrassia
BB 22 Redevelopment plan for 2632 Russell,Primary,ingrassia
BB 23 Redevelopment plan for 2309 Jefferson,Primary,ingrassia
BB 33 Redevelopment plan for 2649 Russell,Primary,ingrassia
BB 47 Redevelopment plan for 2637 Allen,Primary,ingrassia
BB 69 Ordinance pertaining to campaign contribution limits,Co-Sponsor,ingrassia
BB 88 City Hall restoration fund,Co-Sponsor,ingrassia
BB 134 Redevelopment plan for 2526 California,Primary,ingrassia
BB 160 Redev. plan for 3223 Magnolia,Primary,ingrassia
BB 161 Redev. plan for 2927 Virginia,Primary,ingrassia
BB 162 Redev. plan for 3321 Shenandoah,Primary,ingrassia
BB 185 Ordinance pertaining to children only play areas in City parks.,Primary,ingrassia
BB 187 Redevelopment plan for 1900-1928 Pine,Primary,ingrassia
BB 188 Amending a redevelopment plan for 2200 Locust St.,Primary,ingrassia
BB 189 Redevelopment plan for 1900 Market,Primary,ingrassia
BB 199 Northside Regeneration TIF Plan,Co-Sponsor,ingrassia
BB 200 Northside Regeneration TIF Agreement,Co-Sponsor,ingrassia
BB 201 Ordinance pertaining to the Preservation Board,Primary,ingrassia
BB 204 Ordinance pertaining to recording of public meetings,Co-Sponsor,ingrassia
BB 216 Supplemental budget appropriation,Co-Sponsor,ingrassia
BB 222 Redevelopment plan for 301 S. Ewing,Primary,ingrassia
BB 229 Veteran preference legislation,Co-Sponsor,ingrassia
BB 261 Redevelopment plan for Dolman Scattered Sites,Primary,ingrassia
BB 263 Redevelopment plan for 2137 Nebraska,Primary,ingrassia
BB 267 Ordinance pertaining to Compton Hill Missionary Baptist Church,Primary,ingrassia
BB 270 Zoning change for 2841-51 Gravois,Primary,ingrassia
BB 328 Festival Reservation Agreement,Co-Sponsor,ingrassia
BB 332 Ordinance relating to identification of High Merit historic properties.,Co-Sponsor,ingrassia
