"BB 25 Redev. plan for 4325 Ashland, 2418 Euclid, 4000 Greer",Primary,moore
"BB 39 Renaming St. Ferdinand ""Joseph Clark Sr. Way""",Primary,moore
"BB 40 Renaming Whittier as ""Chuck Berry Way""",Primary,moore
"BB 41 Renaming Marcus as ""William G. Gillespie Way""",Primary,moore
BB 42 Redev. plan for 2627-29 Bell Glade,Primary,moore
BB 58 Improvements on Whittier and Kennerly Streets,Primary,moore
BB 157 Stop site at Euclid at Wabada,Primary,moore
BB 163 Prohib. liquor in the 4th Ward,Primary,moore
BB 189 Ord. Relating to Forest Park,Co-Sponsor,moore
BB 234 Renaming 1800 Cora/ O L Shelton Way,Primary,moore
BB 235 Renaming Kennerly/ Peggy Ryan Way,Primary,moore
BB 236 Renaming 4800 St. Louis Avenue/ Al Mansone Way,Primary,moore
BB 252 Prohibiting package liquor in the Fourth Ward,Primary,moore
