BB 25 BILL WITHDRAWN BY THE SPONSOR - An ordinance submitting to the qualified voters a proposed amendment to the Charter to maintain the Board of Aldermen as body of twenty-eight Aldermen,Primary,muhammad
"BB 30 An Ordinance directing the Director of Streets to temporarily close, barricade, or otherwise impede the flow of traffic on Anderson Avenue at the north curb line of Dryden Avenue, and containing an emergency clause.",Primary,muhammad
"BB 72 An ordinance revising The Transparency in Government Law, Ordinance 69707 and Ordinance 70321,",Co-Sponsor,muhammad
BB 93 An Ordinance requiring a City-wide vote to approve any proposal aimed at or having the effect of privatizing the Lambert St. Louis International Airport (the “Airport”),Co-Sponsor,muhammad
"BB 103 condemnation by the City of St. Louis to acquire a site consisting of about 97 acres in North St. Louis near the intersection of Jefferson and Cass Avenues which is owned in fee simple by LCRA Holdings Corporation (“LCRAH”), which site was chosen for",Co-Sponsor,muhammad
"BB 106 BB106 Introduced by Alderman Muhammad Pursuant to Ordinance 68937, an ordinance authorizing the honorary naming of streets, Harry’s Place Way will begin at the intersection of Pope Ave. and West Florissant Ave., and run west on Pope Ave. to the inter",Primary,muhammad
"BB 107 repealing Ordinance 65698, approved November 20, 2022, naming certain streets located withi",Primary,muhammad
BB 109 Disconnected youth task force,Primary,muhammad
"BB 116   An ordinance defining the term “honored guest” as the term is used in City of St. Louis Board of Aldermen Rules, as an individual, or their representative, who is being honored by the Board of Alder",Co-Sponsor,muhammad
"BB 119      An ordinance authorizing and directing the Director of Public Safety, on behalf of the Mayor and the City of Saint Louis, to enter into and execute an Intergovernmental Agreement with the United States Marshal Service for housing and related ser",Co-Sponsor,muhammad
BB 184 Newstead at Carter Honorary Street Name,Primary,muhammad
BB 219 Surveillance Technology,Co-Sponsor,muhammad
"BB 231 An ordinance enacted pursuant to Section 56.540, Revised Statutes of Missouri to repeal  Ordinance No. 70056 relating to the Office of the Circuit Attorney of the City of St. Louis, allocating the positions established by Section 56.540, R.S.Mo. to c",Co-Sponsor,muhammad
