BB 6 Redevelopment plan for 6215 Marmaduke,Primary,ogilvie
BB 108 Ordinance pertaining to graduated business license,Co-Sponsor,ogilvie
BB 109 Ordinance pertaining to the regulation of home occupations,Primary,ogilvie
BB 115 Ordinance pertaining to Recreation Centers,Co-Sponsor,ogilvie
BB 131 Redevelopment plan for 5803-37 Dale,Primary,ogilvie
BB 158 Redevelopment plan for 1509 Fairmount,Primary,ogilvie
BB 173 Amending Minimum Wage ord. pertaining to Sheltered Workshops,Primary,ogilvie
BB 176 Soldiers Memorial Agreement,Co-Sponsor,ogilvie
BB 244 Redevelopment plan for 1243 Graham,Primary,ogilvie
BB 265 Earnings Tax,Co-Sponsor,ogilvie
BB 268 25M GO Bond,Primary,ogilvie
BB 296 Amending Animal Code,Primary,ogilvie
BB 303 Ordinance amending tax abatement for Fairmount Properties,Primary,ogilvie
"BB 306 Zoning change for 7144R Manchester, 7155 Lanham",Primary,ogilvie
BB 307 Zoning change for 1300-22 Hampton,Primary,ogilvie
BB 309 Ordinance requiring online record of Board of Aldermen votes,Primary,ogilvie
