BB 1 Budget for FY 2009-2010,Co-Sponsor,reed
BB 28 TRANS short term borrowing bill,Co-Sponsor,reed
BB 57 Entertainment License Tax,Co-Sponsor,reed
BB 59 Redevelopment plan for 1400 Market,Co-Sponsor,reed
BB 60 CID Assessment petition,Co-Sponsor,reed
BB 69 Amendment to Lease Financing Agreement,Co-Sponsor,reed
BB 70 A & R Master Lease & Agreement,Co-Sponsor,reed
BB 71 Development Doc. relating to Kiel Opera House,Co-Sponsor,reed
BB 72 Kiel Opera House Agrmt for payment,Co-Sponsor,reed
BB 106 Transportation sales tax,Primary,reed
"BB 107 19,227,000 out of Transportation Fund to Bi State",Primary,reed
BB 108 Third amendment to the Memorandum of Agreement with BiState,Primary,reed
BB 115 definitions of drug paraphernalia,Primary,reed
BB 116 Additional court costs 150 for municipal ordinance violations.,Primary,reed
BB 123 Est. potential conflicts of interest.,Primary,reed
BB 140 Memorandum of agrmt for Info. Technology,Primary,reed
BB 157 Francis Slay Park,Co-Sponsor,reed
BB 226 Repainting all existing painted lines on the street.,Primary,reed
BB 227 Bill pertaining to litter,Primary,reed
BB 283 Ord. pertaining to bathhouses,Co-Sponsor,reed
BB 284 Ord. pertaining to boarding houses.,Co-Sponsor,reed
BB 285 Ord. pertaining to tatoo parlors,Co-Sponsor,reed
BB 293 Ord. regarding boarding houses,Co-Sponsor,reed
BB 323 Adopt of all Police Manual policies,Primary,reed
BB 327 Ordinance pertaining to election rules and procedures.,Co-Sponsor,reed
BB 330 Ordinance est. Public Trust Fund,Co-Sponsor,reed
