BB 31 Charter Amendment amending the number of aldermen,Co-Sponsor,roddy
BB 40 Redev. plan for 4538 Oakland,Primary,roddy
BB 40 Redev. plan for 4538 Oakland,Primary,roddy
BB 47 Vacation of Papin at Chouteau and Vandeventer,Primary,roddy
BB 47 Vacation of Papin at Chouteau and Vandeventer,Primary,roddy
BB 79 Enabling legislation creating new zoning overlay district,Primary,roddy
BB 80 Redevelopment plan for 4336 Vista,Primary,roddy
BB 81 Redevelopment plan for 4501-4503 Wichita,Primary,roddy
BB 82 Redevelopment plan for 4224-4230 Gibson,Primary,roddy
BB 83 Redevelopment plan for 4345 Arco,Primary,roddy
BB 130 Redevelopment plan for 3953-65 Laclede,Primary,roddy
BB 131 Redevelopment plan for 4401-55 Chouteau,Primary,roddy
BB 136 Zoning change for 4450 W. Papin,Primary,roddy
BB 137 Zoning change for 100 N. Euclid,Primary,roddy
BB 158 Modify tax abatement for 5700 Oakland,Primary,roddy
BB 159 Quit Claim for 4354R W. Papin,Primary,roddy
BB 199 Rezoning of 5924 Clayton Ave.,Primary,roddy
BB 214 Redevelopment plan for 4137 Manchester,Primary,roddy
BB 215 Redevelopment plan for 4225-29 Laclede,Primary,roddy
BB 218 Establishment of the Central West End Form Based District,Primary,roddy
BB 222 Forest Park Southeast Special Business District,Primary,roddy
BB 223 Ordinance for voters in Forest Park Southeast Special Business District,Primary,roddy
BB 224 Establishment of the Botanical Heights West Special Business District,Primary,roddy
BB 225 Ordinance for voters in Botanical Heights West Special Business District,Primary,roddy
BB 230 Redevelopment plan for 1218 Central Industrial Drive,Primary,roddy
BB 231 Redevelopment plan for 920 S. Taylor and 4450 W. Papin,Primary,roddy
BB 237 Ordinance relating to 3:00 a.m. closing permits,Primary,roddy
BB 242 Ordinance pertaining to elections,Co-Sponsor,roddy
BB 243 Ordinance to terminate 110 N. Condo TIF for 4391-99 West Pine,Primary,roddy
BB 244 Ordinance to lower interest rates,Primary,roddy
BB 251 Northeast Hampton Berthold redev. TIF,Primary,roddy
BB 252 Tri-Star Imports agrmt,Primary,roddy
BB 278 Lindell Historic District,Primary,roddy
BB 280 Cortex TIF plan,Primary,roddy
BB 281 Cortex TIf Agreement,Primary,roddy
BB 283 Central West End Historic District,Co-Sponsor,roddy
