BB 7 Ordinance pertaining to semi-trailer trucks,Primary,spencer
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,spencer
BB 40 Ordinance pertaining to drug related overdoses and medical assistance,Primary,spencer
BB 53 Ordinance pertaining to campaign contribution limits,Co-Sponsor,spencer
BB 54 Ordinance banning lobbyist from the Board of Aldermen Chambers,Co-Sponsor,spencer
BB 63 Fiscal Note Bill,Co-Sponsor,spencer
BB 69 Short-Term Lending Code,Primary,spencer
BB 70 Election Approving Permit Fees for Short-Term Loan Establishments,Primary,spencer
BB 78 Redevelopment plan for 3839 Indiana,Primary,spencer
BB 79 Redevelopment plan for 3944 Michigan,Primary,spencer
BB 88 Ordinance regarding Traffic Calming,Co-Sponsor,spencer
BB 151 Amending Public Nuisances Code,Co-Sponsor,spencer
BB 178 Redevelopment plan for 2920 Cherokee,Primary,spencer
BB 203 Ordinance regarding pregnancy and reproductive health decisions as protected classes,Co-Sponsor,spencer
BB 229 Ordinance establishing the Cherokee Street CID,Co-Sponsor,spencer
BB 237 Redevelopment plan for 3305 Winnebago St.,Primary,spencer
BB 238 Redevelopment plan for Chippewa Park Scattered Sites,Primary,spencer
BB 252 Zoning change for 3627 & 3635 S. Jefferson,Primary,spencer
BB 252 Zoning change for 3627 & 3635 S. Jefferson,Primary,spencer
BB 261 Domestic violence leave bill,Co-Sponsor,spencer
BB 261 Domestic violence leave bill,Co-Sponsor,spencer
