BB 21 Ordinance pertaining to income exemption,Primary,tyus
BB 82 Ordinance to prohibit commercial curb cuts in 4900 block of Terry,Primary,tyus
BB 83 Ordinance pertaining to commercial traffic,Primary,tyus
"BB 84 Honorarily designate 5000-5200 Lotus as Lou ""Fatha"" Thimes Ave",Primary,tyus
BB 85 Ordinance pertaining to vendors,Primary,tyus
BB 95 Ordinance prohibiting the installation of any new pole signs,Primary,tyus
BB 96 Ordinance to close traffic at Wabada west of Union,Primary,tyus
BB 97 Ordinance to close traffic at Terry & Kingshighway,Primary,tyus
BB 151 Amending Public Nuisances Code,Co-Sponsor,tyus
BB 296 Zoning change for 4967-71 Palm,Primary,tyus
"BB 301 Zoning change on 4547, 4901, 4903, 4905, 4909 Geraldine",Primary,tyus
BB 309 Ordinance prohibiting the use of alleys by operators of motor vehicles for drive through traffic,Primary,tyus
