BB 2 Firemen's Retirement System,Primary,vaccaro
BB 55 Work Compliance Commission,Primary,vaccaro
BB 55 Work Compliance Commission,Primary,vaccaro
BB 69 Redevelopment plan for 6969 Oleatha,Primary,vaccaro
BB 152 Redevelopment plan for 6700 Arsenal,Primary,vaccaro
BB 219 Stop sign for east bound and west bound Scanlan,Primary,vaccaro
BB 220 Stop site at Tamm at Smiley,Primary,vaccaro
BB 227 Stop site at Juniata at Clifton,Primary,vaccaro
BB 242 Ordinance pertaining to elections,Co-Sponsor,vaccaro
BB 256 Supplemental appropriation to Annual Operating Plan,Primary,vaccaro
BB 295 Ord. pertaining to the opening of bids,Co-Sponsor,vaccaro
BB 297 City Public Works Projects,Co-Sponsor,vaccaro
