BB 34 Intergovernmental Cooperation Agreement,Co-Sponsor,vollmer
BB 50 Redevelopment plan for 5517-19 Dugar,Primary,vollmer
BB 51 Redevelopment plan for 1924 Edwards,Primary,vollmer
BB 65 Rezoning for Charlie Gitto's,Primary,vollmer
BB 99 Redevelopment plan for 5314 Wilson,Primary,vollmer
BB 150 Redev. plan for 5546 Dugan,Primary,vollmer
BB 151 Redev. plan for 2107 Lilly,Primary,vollmer
BB 152 Redev. plan for 2313 Edwards,Primary,vollmer
BB 182 Prohib. liquor in 10th Ward,Primary,vollmer
BB 230 Vacation of Pattison at Hereford,Primary,vollmer
BB 312 Redev. plan for 5707-15 and 5725-27 Parc Ridge,Primary,vollmer
BB 313 Street vacation of Kemper at Hereford,Primary,vollmer
BB 323 Redevelopment plan for 5135 Shaw,Primary,vollmer
BB 325 Redevelopment plan for 5444 Odel,Primary,vollmer
