BB 2 Ordinance establishing bond oversight committee,Co-Sponsor,williamson
BB 48 Gregory J. Carter Park,Co-Sponsor,williamson
BB 58 Quit claim for 5279 Page,Primary,williamson
BB 58 Quit claim for 5279 Page,Primary,williamson
BB 68 Closing Ridge at 5364 Ridge,Primary,williamson
BB 81 Ord. affirming Ordinances and Notices,Co-Sponsor,williamson
BB 89 Closing of Maple at Clarendon,Primary,williamson
BB 121 Redevelopment plan for 5528 & 5560 Pershing,Primary,williamson
BB 193 Designating Goodfellow between Enright and Delmar Rev. Tommie C. Ringo Blvd,Primary,williamson
BB 196 2014 Lead grant bill,Co-Sponsor,williamson
BB 197 Low interest loans for residential energy efficiency,Co-Sponsor,williamson
BB 201 Ord. establishing the Debaliviere Place Special Business District,Co-Sponsor,williamson
BB 202 Ord. submitting to voters a proposal regarding Debaliviere Place Special Business District,Co-Sponsor,williamson
BB 208 Civilian Review Board,Co-Sponsor,williamson
BB 238 Civil Service Pay Plan,Primary,williamson
BB 248 Redevelopment plan for 851-859 Goodfellow,Primary,williamson
